maturity,log_moneyness,forward,strike,true_local_volatility,true_call_price,noise_standard_deviation,noise,observed_call_price,call_lower_bound,call_upper_bound,model_call_price,price_residual,weighted_residual,absolute_weighted_residual
0.1,-0.3,100.0,74.08182206817179,0.2294245466204515,25.9182123183726,0.1295910615918629,-3.438654438525646e-05,25.91817793182821,25.91817793182821,100.0,25.918231661887805,5.373005959441457e-05,0.0004146123886509493,0.0004146123886509493
0.1,-0.25,100.0,77.8800783071405,0.2272245466204515,22.120423271356376,0.1106021163567818,0.0070895861471029,22.12751285750348,22.119921692859503,100.0,22.12055305846674,-0.006959799036739156,-0.06292645444765399,0.06292645444765399
0.1,-0.2,100.0,81.87307530779819,0.2254245466204515,18.132482322975008,0.090662411614875,0.0671709916286538,18.199653314603665,18.12692469220181,100.0,18.13316293827782,-0.06649037632584509,-0.7333841571332744,0.7333841571332744
0.1,-0.15,100.0,86.07079764250578,0.2240245466204515,13.97359314760093,0.0698679657380046,0.0106631925870068,13.984256340187937,13.92920235749422,100.0,13.976415031950731,-0.007841308237205524,-0.11223037846284757,0.11223037846284757
0.1,-0.1,100.0,90.48374180359596,0.2230245466204515,9.768883731680372,0.0488444186584018,0.0421890682414343,9.811072799921806,9.516258196404053,100.0,9.782885057208526,-0.028187742713280173,-0.5770923984255786,0.5770923984255786
0.1,-0.05,100.0,95.1229424500714,0.2224245466204515,5.871806933965481,0.0293590346698274,0.0855257810701415,5.957332715035623,4.877057549928594,100.0,5.899133945068698,-0.05819876996692486,-1.9823121101027332,1.9823121101027332
0.1,0.0,100.0,100.0,0.2222245466204515,2.8439012225280185,0.01421950611264,-0.0210281378164824,2.822873084711536,0.0,100.0,2.8421530418943903,0.019279957182854357,1.3558809307530044,1.3558809307530044
0.1,0.0499999999999999,100.0,105.12710963760242,0.2224245466204515,1.0456789705844558,0.01,0.0094547297464586,1.0551337003309145,0.0,100.0,1.06395295406077,0.00881925372985548,0.8819253729855481,0.8819253729855481
0.1,0.0999999999999999,100.0,110.51709180756475,0.2230245466204515,0.278278838213894,0.01,-0.0166613545731796,0.2616174836407143,0.0,100.0,0.2863732222378837,0.024755738597169397,2.4755738597169397,2.4755738597169397
0.1,0.1499999999999999,100.0,116.1834242728283,0.2240245466204515,0.0514829202955935,0.01,0.0034374458145267,0.0549203661101203,0.0,100.0,0.05538563873627697,0.00046527262615667087,0.04652726261566709,0.04652726261566709
0.1,0.1999999999999999,100.0,122.14027581601698,0.2254245466204515,0.0066433698049107,0.01,-0.0051244370928485,0.0015189327120621,0.0,100.0,0.008038831875525,0.0065198991634628995,0.6519899163462899,0.6519899163462899
0.1,0.2499999999999999,100.0,128.40254166877415,0.2272245466204515,0.0006147071562664,0.01,0.0132375895668857,0.0138522967231522,0.0,100.0,0.0008957284881761096,-0.01295656823497609,-1.2956568234976091,1.2956568234976091
0.1,0.3,100.0,134.9858807576003,0.2294245466204515,4.085172603730589e-05,0.01,-4.085172603730589e-05,0.0,0.0,100.0,7.909106479714682e-05,7.909106479714682e-05,0.007909106479714682,0.007909106479714682
0.25,-0.3,100.0,74.08182206817179,0.2213709965822304,25.929278422726192,0.1296463921136309,0.0673504189803004,25.99662884170649,25.91817793182821,100.0,25.92812186842761,-0.068506973278879,-0.5284140357630225,0.5284140357630225
0.25,-0.25,100.0,77.8800783071405,0.2191709965822304,22.162990636388763,0.1108149531819438,-0.0430689435292563,22.119921692859503,22.119921692859503,100.0,22.162043912350015,0.04212221949051198,0.3801131370903776,0.3801131370903776
0.25,-0.2,100.0,81.87307530779819,0.2173709965822304,18.271473225861385,0.0913573661293069,-0.1445485336595737,18.12692469220181,18.12692469220181,100.0,18.27631066756289,0.14938597536107778,1.6351825987368922,1.6351825987368922
0.25,-0.15,100.0,86.07079764250578,0.2159709965822304,14.347933226407145,0.0717396661320357,0.031187668428668,14.379120894835811,13.92920235749422,100.0,14.370077210371083,-0.009043684464728585,-0.12606253907125564,0.12606253907125564
0.25,-0.1,100.0,90.48374180359596,0.2149709965822304,10.569830522471127,0.0528491526123556,0.0916028717911867,10.661433394262316,9.516258196404053,100.0,10.62370465035768,-0.03772874390463521,-0.7138949640568997,0.7138949640568997
0.25,-0.05,100.0,95.1229424500714,0.2143709965822304,7.1740175561267865,0.0358700877806339,0.0186572578418742,7.192674813968661,4.877057549928594,100.0,7.245029776672272,0.052354962703611285,1.4595716359489228,1.4595716359489228
0.25,0.0,100.0,100.0,0.2141709965822304,4.407830806296422,0.0220391540314821,-0.0220868862936365,4.385743920002786,0.0,100.0,4.453509309448277,0.06776538944549149,3.07477271353933,3.07477271353933
0.25,0.0499999999999999,100.0,105.12710963760242,0.2143709965822304,2.414767187830776,0.0120738359391538,0.0032399600296981,2.418007147860474,0.0,100.0,2.4699254262201644,0.05191827835969054,4.300064918997836,4.300064918997836
0.25,0.0999999999999999,100.0,110.51709180756475,0.2149709965822304,1.1635722026052835,0.01,0.0076717470048008,1.1712439496100844,0.0,100.0,1.2069937748595918,0.03574982524950743,3.5749825249507428,3.5749825249507428
0.25,0.1499999999999999,100.0,116.1834242728283,0.2159709965822304,0.4868460211425478,0.01,0.0119127202678665,0.4987587414104144,0.0,100.0,0.5175022181981457,0.018743476787731306,1.8743476787731306,1.8743476787731306
0.25,0.1999999999999999,100.0,122.14027581601698,0.2173709965822304,0.1762114970578739,0.01,-0.0115741080729694,0.1646373889849044,0.0,100.0,0.19270184902800624,0.02806446004310184,2.806446004310184,2.806446004310184
0.25,0.2499999999999999,100.0,128.40254166877415,0.2191709965822304,0.0551309128929821,0.01,0.0069627939525554,0.0620937068455375,0.0,100.0,0.06104771176258586,-0.0010459950829516396,-0.10459950829516396,0.10459950829516396
0.25,0.3,100.0,134.9858807576003,0.2213709965822304,0.0147873826186159,0.01,0.0035138368579212,0.0183012194765372,0.0,100.0,0.016208087763267803,-0.0020931317132693965,-0.20931317132693963,0.20931317132693963
0.5,-0.3,100.0,74.08182206817179,0.2138939048044529,26.049651120845954,0.1302482556042297,-0.0042220080174821,26.045429112828472,25.91817793182821,100.0,26.040841778338343,-0.004587334490128825,-0.03521993034645951,0.03521993034645951
0.5,-0.25,100.0,77.8800783071405,0.2116939048044529,22.41756947201688,0.1120878473600844,0.0014774948282259,22.419046966845105,22.119921692859503,100.0,22.41292891179373,-0.006118055051373972,-0.054582679527421026,0.054582679527421026
0.5,-0.2,100.0,81.87307530779819,0.2098939048044529,18.7537152381094,0.0937685761905469,-0.0636923025357845,18.69002293557361,18.12692469220181,100.0,18.76354802972228,0.07352509414867114,0.7841123021774478,0.7841123021774478
0.5,-0.15,100.0,86.07079764250578,0.2084939048044529,15.156609251033071,0.0757830462551653,-0.0470258073448697,15.109583443688203,13.92920235749422,100.0,15.189098401867302,0.07951495817909837,1.0492446808138003,1.0492446808138003
0.5,-0.1,100.0,90.48374180359596,0.2074939048044529,11.757824407148073,0.0587891220357403,0.0782609150335247,11.836085322181596,9.516258196404053,100.0,11.812095370076673,-0.023989952104923162,-0.40806787504563674,0.40806787504563674
0.5,-0.05,100.0,95.1229424500714,0.2068939048044529,8.691010954860062,0.0434550547743003,0.0112478417500181,8.70225879661008,4.877057549928594,100.0,8.736310210840472,0.03405141423039204,0.783600766521881,0.783600766521881
0.5,0.0,100.0,100.0,0.2066939048044529,6.082676255448153,0.0304133812772407,-0.0146435539502176,6.068032701497935,0.0,100.0,6.085370478528138,0.017337777030203227,0.5700706827746784,0.5700706827746784
0.5,0.0499999999999999,100.0,105.12710963760242,0.2068939048044529,4.009552883400855,0.0200477644170042,-0.0499548112443801,3.9595980721564743,0.0,100.0,4.019929454967974,0.06033138281149952,3.0093820715654154,3.0093820715654154
0.5,0.0999999999999999,100.0,110.51709180756475,0.2074939048044529,2.4766773541902927,0.0123833867709514,-0.0108548282437137,2.465822525946579,0.0,100.0,2.496688538205956,0.03086601225937713,2.492533975582653,2.492533975582653
0.5,0.1499999999999999,100.0,116.1834242728283,0.2084939048044529,1.4266515073373127,0.01,-0.0050550912748685,1.421596416062444,0.0,100.0,1.458645325355246,0.037048909292802135,3.7048909292802135,3.7048909292802135
0.5,0.1999999999999999,100.0,122.14027581601698,0.2098939048044529,0.765332269543708,0.01,-0.0128312916995062,0.7525009778442018,0.0,100.0,0.7985801601583435,0.046079182314141764,4.6079182314141764,4.6079182314141764
0.5,0.2499999999999999,100.0,128.40254166877415,0.2116939048044529,0.382154004204022,0.01,-0.0133032842497938,0.3688507199542282,0.0,100.0,0.4065741706362913,0.03772345068206312,3.7723450682063118,3.7723450682063118
