underlying_symbol,quote_date,expiration,maturity,strike,source_option,source_option_type,bid,ask,mid,spread,relative_spread,call_bid,call_ask,observed_call_price,call_spread,noise_standard_deviation,quote_weight,discount_factor,prepaid_forward,forward,implied_rate,log_moneyness,call_lower_bound,call_upper_bound,parity_rmse,number_of_parity_pairs,trade_volume,open_interest,is_train,is_test,exercise_style
^SPX,2023-08-25,2023-09-08,0.038329911019849415,3300.0,otm_put_parity,P,0.15,0.25,0.2,0.1,0.5,1117.8038023248066,1117.9038023248065,1117.8538023248066,0.09999999999990905,0.049999999999954525,20.00000000001819,0.9976538524364376,4409.91151536505,4420.2821495605,0.061281229660252325,-0.2922810603220164,1117.6538023248065,4409.91151536505,0.17526984341609064,157,0,2171,True,False,european_index
^SPX,2023-08-25,2023-09-08,0.038329911019849415,3400.0,otm_put_parity,P,0.2,0.3,0.25,0.09999999999999998,0.3999999999999999,1018.0884170811628,1018.1884170811627,1018.1384170811627,0.09999999999990905,0.049999999999954525,20.00000000001819,0.9976538524364376,4409.91151536505,4420.2821495605,0.061281229660252325,-0.2624280971723353,1017.8884170811627,4409.91151536505,0.17526984341609064,157,100,728,False,True,european_index
^SPX,2023-08-25,2023-09-08,0.038329911019849415,3450.0,otm_put_parity,P,0.25,0.35,0.3,0.09999999999999998,0.33333333333333326,968.2557244593409,968.3557244593409,968.3057244593408,0.10000000000002274,0.05000000000001137,19.999999999995453,0.9976538524364376,4409.91151536505,4420.2821495605,0.061281229660252325,-0.2478292977511825,968.0057244593409,4409.91151536505,0.17526984341609064,157,2,6844,True,False,european_index
^SPX,2023-08-25,2023-09-08,0.038329911019849415,3500.0,otm_put_parity,P,0.3,0.4,0.35,0.10000000000000003,0.2857142857142858,918.4230318375189,918.5230318375189,918.4730318375189,0.10000000000002274,0.05000000000001137,19.999999999995453,0.9976538524364376,4409.91151536505,4420.2821495605,0.061281229660252325,-0.23344056029908297,918.123031837519,4409.91151536505,0.17526984341609064,157,1302,702,True,False,european_index
^SPX,2023-08-25,2023-09-08,0.038329911019849415,3550.0,otm_put_parity,P,0.35,0.45,0.4,0.10000000000000003,0.25000000000000006,868.5903392156971,868.6903392156971,868.6403392156972,0.10000000000002274,0.05000000000001137,19.999999999995453,0.9976538524364376,4409.91151536505,4420.2821495605,0.061281229660252325,-0.21925592530712645,868.2403392156971,4409.91151536505,0.17526984341609064,157,21,463,True,False,european_index
^SPX,2023-08-25,2023-09-08,0.038329911019849415,3600.0,otm_put_parity,P,0.4,0.5,0.45,0.09999999999999998,0.22222222222222215,818.7576465938752,818.8576465938752,818.8076465938752,0.10000000000002274,0.05000000000001137,19.999999999995453,0.9976538524364376,4409.91151536505,4420.2821495605,0.061281229660252325,-0.20526968333238665,818.3576465938752,4409.91151536505,0.17526984341609064,157,47,3595,True,False,european_index
^SPX,2023-08-25,2023-09-08,0.038329911019849415,3650.0,otm_put_parity,P,0.45,0.55,0.5,0.10000000000000003,0.20000000000000007,768.9249539720533,769.0249539720533,768.9749539720533,0.09999999999990905,0.049999999999954525,20.00000000001819,0.9976538524364376,4409.91151536505,4420.2821495605,0.061281229660252325,-0.19147636120005077,768.4749539720533,4409.91151536505,0.17526984341609064,157,125,4200,False,True,european_index
^SPX,2023-08-25,2023-09-08,0.038329911019849415,3700.0,otm_put_parity,P,0.5,0.6,0.55,0.09999999999999998,0.18181818181818177,719.0922613502314,719.1922613502314,719.1422613502314,0.10000000000002274,0.05000000000001137,19.999999999995453,0.9976538524364376,4409.91151536505,4420.2821495605,0.061281229660252325,-0.1778707091442722,718.5922613502314,4409.91151536505,0.17526984341609064,157,80,1304,True,False,european_index
^SPX,2023-08-25,2023-09-08,0.038329911019849415,3750.0,otm_put_parity,P,0.6,0.7,0.6499999999999999,0.09999999999999998,0.15384615384615383,669.3095687284095,669.4095687284096,669.3595687284096,0.10000000000002274,0.05000000000001137,19.999999999995453,0.9976538524364376,4409.91151536505,4420.2821495605,0.061281229660252325,-0.16444768881213145,668.7095687284095,4409.91151536505,0.17526984341609064,157,892,2141,True,False,european_index
^SPX,2023-08-25,2023-09-08,0.038329911019849415,3775.0,otm_put_parity,P,0.65,0.7,0.675,0.04999999999999993,0.07407407407407397,644.4182224174986,644.4682224174986,644.4432224174986,0.05000000000006821,0.025000000000034106,39.99999999994543,0.9976538524364376,4409.91151536505,4420.2821495605,0.061281229660252325,-0.1578031460934629,643.7682224174986,4409.91151536505,0.17526984341609064,157,96,90,True,False,european_index
^SPX,2023-08-25,2023-09-08,0.038329911019849415,3800.0,otm_put_parity,P,0.7,0.75,0.725,0.050000000000000044,0.06896551724137938,619.5268761065877,619.5768761065876,619.5518761065877,0.049999999999954525,0.024999999999977263,40.00000000003638,0.9976538524364376,4409.91151536505,4420.2821495605,0.061281229660252325,-0.15120246206211088,618.8268761065876,4409.91151536505,0.17526984341609064,157,176,22185,True,False,european_index
^SPX,2023-08-25,2023-09-08,0.038329911019849415,3825.0,otm_put_parity,P,0.7,0.8,0.75,0.10000000000000009,0.13333333333333344,594.5855297956768,594.6855297956768,594.6355297956768,0.09999999999990905,0.049999999999954525,20.00000000001819,0.9976538524364376,4409.91151536505,4420.2821495605,0.061281229660252325,-0.14464506151595183,593.8855297956768,4409.91151536505,0.17526984341609064,157,66,317,False,True,european_index
^SPX,2023-08-25,2023-09-08,0.038329911019849415,3850.0,otm_put_parity,P,0.8,0.85,0.825,0.04999999999999993,0.06060606060606053,569.7441834847658,569.7941834847659,569.7691834847658,0.05000000000006821,0.025000000000034106,39.99999999994543,0.9976538524364376,4409.91151536505,4420.2821495605,0.061281229660252325,-0.13813038049475804,568.9441834847659,4409.91151536505,0.17526984341609064,157,1554,21159,True,False,european_index
^SPX,2023-08-25,2023-09-08,0.038329911019849415,3860.0,otm_put_parity,P,0.8,0.9,0.8500000000000001,0.09999999999999998,0.11764705882352937,559.7676449604014,559.8676449604014,559.8176449604014,0.10000000000002274,0.05000000000001137,19.999999999995453,0.9976538524364376,4409.91151536505,4420.2821495605,0.061281229660252325,-0.13553634531771147,558.9676449604015,4409.91151536505,0.17526984341609064,157,0,5,True,False,european_index
^SPX,2023-08-25,2023-09-08,0.038329911019849415,3870.0,otm_put_parity,P,0.85,0.9,0.875,0.050000000000000044,0.0571428571428572,549.8411064360371,549.891106436037,549.8661064360371,0.049999999999954525,0.024999999999977263,40.00000000003638,0.9976538524364376,4409.91151536505,4420.2821495605,0.061281229660252325,-0.13294902175276044,548.9911064360371,4409.91151536505,0.17526984341609064,157,0,398,True,False,european_index
^SPX,2023-08-25,2023-09-08,0.038329911019849415,3875.0,otm_put_parity,P,0.85,0.9,0.875,0.050000000000000044,0.0571428571428572,544.8528371738549,544.9028371738549,544.8778371738549,0.049999999999954525,0.024999999999977263,40.00000000003638,0.9976538524364376,4409.91151536505,4420.2821495605,0.061281229660252325,-0.13165786598914062,544.0028371738549,4409.91151536505,0.17526984341609064,157,0,57,True,False,european_index
^SPX,2023-08-25,2023-09-08,0.038329911019849415,3880.0,otm_put_parity,P,0.85,0.95,0.8999999999999999,0.09999999999999998,0.11111111111111109,539.8645679116727,539.9645679116727,539.9145679116727,0.10000000000002274,0.05000000000001137,19.999999999995453,0.9976538524364376,4409.91151536505,4420.2821495605,0.061281229660252325,-0.13036837515926888,539.0145679116727,4409.91151536505,0.17526984341609064,157,0,31,False,True,european_index
