number_of_evaluation_points,rmse,mae,maximum_absolute_error,bias,method,method_valid_fraction
71,0.0031018580771537793,0.002448081231007266,0.007948132620426318,0.0007175237440468313,operator_regularized,1.0
71,0.009952820606654159,0.007457854254934413,0.028125915517503652,0.004538520732854676,ssvi_dupire,1.0
71,0.012763851648502376,0.007118307098913352,0.0461558173193318,-0.007118307098913352,constant_reference,1.0
71,0.02335604060435769,0.016708815211929035,0.07443203141737509,-0.004684014316365832,smoothed_dupire,0.9358974358974359
71,0.02972229651460607,0.01977465612433804,0.10152965685550636,-0.0026208036738318407,raw_dupire,0.9358974358974359
