maturity,log_moneyness,true_local_volatility,constant_reference,raw_dupire,smoothed_dupire,ssvi_dupire,operator_regularized,shared_valid
0.1,-0.3,0.20029731086782362,0.2,0.3225122899479542,,0.23263177809419505,0.2031772338565841,False
0.1,-0.25,0.20077250570628508,0.2,0.40585930329316844,,0.22886918405320664,0.20452528567287087,False
0.1,-0.2,0.20168730759002754,0.2,,,0.22506638411273874,0.20637676018780082,False
0.1,-0.15,0.2030980503845266,0.2,0.1293753928918364,0.2550452052189255,0.22122228550603978,0.20800341455869206,True
0.1,-0.1,0.20478172224162694,0.2,0.21197790119509963,0.2252731590726761,0.21733575175441117,0.2094052487855446,True
0.1,-0.05000000000000002,0.20620414396274997,0.2,0.20507667057495874,0.2110108127669475,0.2134056006250124,0.20860802501005238,True
0.1,0.0,0.20676676416183065,0.2,0.20734962140572213,0.20732376236014152,0.2094306020213896,0.20707778190044526,True
0.1,0.04999999999999999,0.20620414396275,0.2,0.21166057449343645,0.2123064985305576,0.20540947581644028,0.20338056417736566,True
0.1,0.09999999999999998,0.20478172224162694,0.2,0.20765631572135587,0.21535994548689028,0.20134088964199065,0.20044207896662652,True
0.1,0.14999999999999997,0.2030980503845266,0.2,0.19215680709030036,0.20878046291386843,0.19722345665503715,0.19977979129290865,True
0.1,0.19999999999999996,0.20168730759002754,0.2,0.16664704990797152,0.20402274541375012,0.19305573330843606,0.19848515040765224,True
0.1,0.24999999999999994,0.20077250570628508,0.2,,,0.18883621716400412,0.19655815631085735,False
0.1,0.3,0.20029731086782362,0.2,,,0.18456334479942604,0.19670580451830408,False
0.25,-0.3,0.20082450094191812,0.2,,0.24660776105674848,0.23264372576026823,0.20417895839161623,False
0.25,-0.25,0.20214230877980227,0.2,0.21255276035803838,0.1452360653078814,0.23026822429730592,0.20647711247791423,True
0.25,-0.2,0.20467923257386153,0.2,0.1271735830244476,0.19369434139665417,0.22787712680032216,0.2101778726097227,True
0.25,-0.15,0.20859149710486674,0.2,0.17267041012520168,0.21630723850300873,0.22547017631097116,0.21431411782292378,True
0.25,-0.1,0.21326064708321144,0.2,0.21523830490269194,0.22505202745536534,0.22304710973039854,0.2188858481175175,True
0.25,-0.05000000000000002,0.21720529955237894,0.2,0.22793785940745254,0.2238127080012586,0.22060765765251764,0.22074075647920569,True
0.25,0.0,0.21876555494257,0.2,0.22934076882022097,0.2254524610973891,0.21815154419459523,0.22169005752992535,True
0.25,0.04999999999999999,0.21720529955237894,0.2,0.2286470488211486,0.22764742662017906,0.21567848682551174,0.2172534078967865,True
0.25,0.09999999999999998,0.21326064708321144,0.2,0.2102556427576684,0.21608404190178046,0.21318819619215212,0.2129129567385696,True
0.25,0.14999999999999997,0.20859149710486677,0.2,0.19146961583100913,0.19508797205542,0.2106803759444837,0.20886110100511884,True
0.25,0.19999999999999996,0.20467923257386156,0.2,0.18863896224846444,0.1886304205079336,0.20815472255999853,0.20473361125878542,True
0.25,0.24999999999999994,0.20214230877980227,0.2,0.14583474712838065,0.17065784569146783,0.20561092516834126,0.20053048749956937,True
0.25,0.3,0.20082450094191812,0.2,0.09929484408641176,0.12639246952454303,0.20304866537710856,0.19906723236285195,True
0.5,-0.3,0.20202794508189362,0.2,,0.11905978350509665,0.23374993109615125,0.20584849928333654,False
0.5,-0.25,0.20526922933986053,0.2,0.1775651136843122,0.14376143518821416,0.23213263077169055,0.20973015715298654,True
0.5,-0.2,0.21150905499649678,0.2,0.2163756670496594,0.17562104558884703,0.23050817648533603,0.21651305997959258,True
