method,overall_rmse,overall_mae,bump_region_rmse,outside_region_rmse,true_peak_volatility,estimated_peak_volatility,peak_amplitude_error,peak_excess_ratio,true_peak_x,estimated_peak_x,true_peak_maturity,estimated_peak_maturity,scaled_peak_location_error
operator_regularized,0.0031018580771537793,0.002448081231007266,0.002702763602485877,0.003265214580837574,0.2461558173193318,0.2460438502457255,-0.00011196707360630609,0.9975741503431376,0.0,0.0,0.5,0.5,0.0
ssvi_dupire,0.009952820606654159,0.007457854254934413,0.010089668774762476,0.009890762695615356,0.2461558173193318,0.23213263077169055,-0.014023186547641259,0.6961772673069355,0.0,-0.25,0.5,0.5,2.0833333333333335
constant_reference,0.012763851648502376,0.007118307098913352,0.0225611508870628,0.002743853563726043,0.2461558173193318,0.2,-0.0461558173193318,0.0,0.0,,0.5,,
smoothed_dupire,0.02335604060435769,0.016708815211929035,0.013904412569080413,0.02652588638114849,0.2461558173193318,0.2550452052189255,0.008889387899593676,1.1925951790235219,0.0,-0.15,0.5,0.1,2.0303940504246953
raw_dupire,0.02972229651460607,0.01977465612433804,0.013291211057239457,0.0346516248719809,0.2461558173193318,0.28322121665339983,0.03706539933406802,1.803049355136078,0.0,-0.2,0.5,1.0,2.6034165586355518
