lambda,weighted_data_misfit,weighted_rmse,regularization_penalty,objective,effective_degrees_of_freedom,gcv,correction_norm
0.1,30.25267583256619,0.6227799116591938,3.246121601433246,30.577287992709515,42.80770934218309,1.9052998125315364,12.605662340219482
0.31622776601683794,30.514264373866105,0.6254666398887059,1.7779243893383097,31.07649343165341,41.69057730653507,1.8053392306137745,9.032816684337062
1.0,30.987963131770933,0.6303027674161426,0.9408745887193657,31.9288377204903,40.31336421954578,1.7018171358765617,6.429117972780618
3.1622776601683795,31.87120237415133,0.6392223076856484,0.442107829427482,33.26927008653539,38.61001745846769,1.60221751141192,4.451624664953998
10.0,33.124976515820926,0.6516741410400356,0.21212303292664697,35.24620684508739,36.369077891477744,1.490795663716382,3.1592316130225924
31.622776601683793,35.009422364005886,0.6699542881842654,0.10613866419996888,38.365821630802635,33.37944566094286,1.3715436226050681,2.3193160040278054
100.0,38.37547959546947,0.7014223607406913,0.04592259683867908,42.96773927933738,29.61902650793197,1.278789946604596,1.6744791269650947
316.22776601683796,43.162836486117385,0.7438882298705676,0.01808877533133487,48.8830094991259,25.30988037936891,1.2126799875969292,1.2386465370165194
1000.0,48.79119340923617,0.7909033573270713,0.0076375798427610175,56.428773251997185,20.790544554038664,1.1627876641386168,1.011632319650974
3162.2776601683795,54.58384007666823,0.8365362045337587,0.004172043889990897,67.77700126722843,16.45333731027549,1.1239569345399543,0.9240057972538881
10000.0,59.98103741773771,0.8769194143145455,0.0031638911729100516,91.61994914683822,12.55219030889271,1.0922406659265507,0.8893580883801696
31622.776601683792,69.65639548426857,0.9450030218664788,0.0026428236855688377,153.22981849065053,9.220676493210926,1.1485232734822544,0.8547920605481877
100000.0,103.12952695496159,1.1498580010155635,0.0020867462466829315,311.8041516232547,6.520567192742638,1.5744012756756147,0.8024982858375874
