maturity,log_moneyness,map_log_variance,sd_log_variance,lower_log_variance,upper_log_variance,volatility_median,volatility_mean,volatility_lower,volatility_upper,volatility_interval_width
0.1,-0.35,-3.1841687339979945,0.13977022610902817,-3.45811334328271,-2.910224124713279,0.20350099859739984,0.20399854806622486,0.17745172628605355,0.23337420997179487,0.05592248368574132
0.1,-0.26249999999999996,-3.1433212401398793,0.14166237482916996,-3.420974392769466,-2.8656680875102927,0.2076999850518587,0.20822166044053417,0.18077769691853263,0.23863167042106428,0.05785397350253166
0.1,-0.175,-3.057106795670875,0.12009891481907352,-3.2924963432986027,-2.8217172480431474,0.21684913495787095,0.217240459821021,0.1927718002726577,0.24393374583557612,0.05116194556291842
0.1,-0.08750000000000002,-2.9496341935499766,0.05064537911233225,-3.048897312593525,-2.850371074506428,0.22882057523918123,0.2288939512948288,0.2177410739469183,0.24046384406808807,0.022722770121169772
0.1,0.0,-2.9761084785469243,0.017022837778978013,-3.009472627508389,-2.9427443295854596,0.22581160370698802,0.2258197832314337,0.22207584445782197,0.22961020588804432,0.007534361430222347
0.1,0.08750000000000002,-3.000108445805989,0.026959596072738595,-3.052948283146304,-2.947268608465674,0.2231180617114101,0.2231383334609583,0.21730048895740653,0.2290913826319756,0.011790893674569064
0.1,0.17499999999999993,-3.003094847098879,0.056985011953145884,-3.1147834181856293,-2.8914062760121286,0.2227851502910594,0.22287559969008022,0.21068488262333235,0.23558037279279037,0.024895490169458023
0.1,0.26249999999999996,-3.0905961478009587,0.10219455344153565,-3.2908937919625223,-2.890298503639395,0.2132482979966717,0.21352686815838032,0.19292632552609568,0.23571089365057263,0.04278456812447695
0.1,0.35,-3.1325460934579428,0.12788714675542004,-3.3832002951841544,-2.881891891731731,0.2088220037192039,0.20924935408218273,0.18422450162359735,0.23670374381795922,0.05247924219436187
0.575,-0.35,-3.2296196748769037,0.12906648085611946,-3.482585328966226,-2.9766540207875813,0.19892849559652895,0.19934314990874372,0.1752936582115582,0.2257500172227507,0.0504563590111925
0.575,-0.26249999999999996,-3.2341426241572186,0.12102821806593983,-3.471353572679521,-2.9969316756349165,0.1984791321520634,0.1988428761167444,0.17628085543049468,0.2234727407218011,0.04719188529130641
0.575,-0.175,-3.194099414782669,0.10080965926753395,-3.39168271624079,-2.996516113324548,0.2024930513406744,0.20275044646014484,0.1834448212906874,0.22351917897034984,0.04007435767966244
0.575,-0.08750000000000002,-3.143263464507922,0.07948472418666488,-3.299050661234885,-2.987476267780959,0.2077059851374699,0.20787008108867996,0.19214109047120367,0.22453175505628017,0.0323906645850765
0.575,0.0,-3.3278277917539287,0.053873393370281866,-3.43341770248464,-3.2222378810232173,0.1893962503628122,0.18946497442701604,0.17965645209834918,0.19966407681175985,0.020007624713410666
0.575,0.08750000000000002,-3.2350688207309424,0.04618942343157295,-3.325598427123496,-3.144539214338389,0.19838723808562062,0.19844015161584502,0.18960748472139002,0.20757353694698694,0.017966052225596912
0.575,0.17499999999999993,-3.14646883603606,0.05678931890190773,-3.257773855790359,-3.035163816281761,0.20737336432649497,0.20745697925981174,0.19614777928688934,0.21924139232385192,0.023093613036962585
0.575,0.26249999999999996,-3.1132276698805845,0.0709401586023576,-3.2522678257987647,-2.9741875139624043,0.21084883270585097,0.2109815116878752,0.19668852105823353,0.22602859594565505,0.02934007488742152
0.575,0.35,-3.086827483875469,0.10096673188026634,-3.284718641997503,-2.888936325753435,0.2136505074096034,0.21392293260854225,0.19352292056426396,0.2358714884174299,0.04234856785316593
1.05,-0.35,-3.198702250936896,0.12244930230718956,-3.438698473391045,-2.958706028482747,0.20202756601545468,0.20240656698562776,0.17918271551447362,0.22778501438009532,0.0486022988656217
1.05,-0.26249999999999996,-3.183188765916409,0.11399323688727951,-3.4066114046966196,-2.959766127136198,0.20360073527169187,0.20393171415645697,0.18208062375177078,0.22766430907929275,0.04558368532752197
1.05,-0.175,-3.143149239455839,0.10454660559425534,-3.348056821126493,-2.9382416577851846,0.2077178480897134,0.2080018363663827,0.187490254567351,0.23012771791571668,0.042637463348365684
1.05,-0.08750000000000002,-3.103254437498883,0.09222135717666433,-3.2840049761705497,-2.9225038988272165,0.21190288079127595,0.212128273966385,0.19359198823390944,0.23194570858680072,0.03835372035289128
