maturity,log_moneyness,strike,true_call_price,observed_call_price,map_call_price,latent_price_sd,observed_predictive_sd,latent_lower,latent_upper,observed_lower,observed_upper
0.1,-0.3,74.08182206817179,25.9182123183726,25.91817793182821,25.918223426848908,1.946629408080102e-05,0.12959106305391052,25.918185273613595,25.91826158008422,25.664229610544982,26.172217243152833
0.1,-0.25,77.8800783071405,22.120423271356376,22.12751285750348,22.12047058399554,0.00017044471360156806,0.11060224768963556,22.120136518495528,22.120804649495554,21.903694161914675,22.337247006076407
0.1,-0.2,81.87307530779819,18.132482322975008,18.199653314603665,18.13253742544783,0.001107803808940134,0.09066917948842441,18.13036616988037,18.134708681015287,17.95482909914272,18.310245751752937
0.1,-0.15,86.07079764250578,13.97359314760093,13.984256340187937,13.973357016474987,0.004175645930134368,0.06999263286447248,13.965172900839733,13.981541132110241,13.836173976877486,14.110540056072487
0.1,-0.1,90.48374180359596,9.768883731680372,9.811072799921806,9.773850443092487,0.010364973369763202,0.049932052902250376,9.753535468587033,9.79416541759794,9.675985417729928,9.871715468455045
0.1,-0.05,95.1229424500714,5.871806933965481,5.957332715035623,5.88352612947588,0.012098990717470321,0.0317543460509827,5.859812543420353,5.907239715531406,5.821288754863332,5.945763504088427
0.1,0.0,100.0,2.8439012225280185,2.822873084711536,2.8225606322327823,0.010801354036056279,0.01785675231109049,2.8013903673378455,2.843730897127719,2.7875620408221926,2.857559223643372
0.1,0.0499999999999999,105.12710963760242,1.0456789705844558,1.0551337003309145,1.040416880589834,0.006016364147366742,0.011670331510018039,1.0286250235431171,1.0522087376365508,1.0175434511425556,1.0632903100371123
0.1,0.0999999999999999,110.51709180756475,0.278278838213894,0.2616174836407143,0.26946123930144594,0.003933846852324111,0.01074593649048515,0.26175104115019443,0.27717143745269746,0.2483995907999403,0.2905228878029516
0.1,0.1499999999999999,116.1834242728283,0.0514829202955935,0.0549203661101203,0.0486683062637793,0.001353944990331621,0.010091242095839545,0.04601462284568089,0.051321989681877705,0.0288898351966593,0.0684467773308993
0.1,0.1999999999999999,122.14027581601698,0.0066433698049107,0.0015189327120621,0.006462713081130163,0.00043902644816603745,0.010009632571787502,0.005602237054464189,0.0073231891077961365,-0.013155806258052377,0.026081232420312704
0.1,0.2499999999999999,128.40254166877415,0.0006147071562664,0.0138522967231522,0.0006607781587496123,8.13138202348927e-05,0.010000330591403525,0.0005014059996438583,0.0008201503178553663,-0.018939509633895436,0.02026106595139466
0.1,0.3,134.9858807576003,4.085172603730589e-05,0.0,5.4214129950184666e-05,1.1778551836233418e-05,0.010000006936711762,3.112859256112905e-05,7.729966733924028e-05,-0.019545439311155578,0.01965386757105595
0.25,-0.3,74.08182206817179,25.929278422726192,25.99662884170649,25.92716585436669,0.002127871636029443,0.12966385319656654,25.922995302596348,25.931336406137035,25.673029372004734,26.18130233672865
0.25,-0.25,77.8800783071405,22.162990636388763,22.119921692859503,22.158805346896884,0.006177174963272411,0.11098698725185434,22.146698306442666,22.170912387351102,21.941274849130643,22.376335844663124
0.25,-0.2,81.87307530779819,18.271473225861385,18.12692469220181,18.267843329114694,0.01334786200314808,0.09232731863397374,18.241682000317912,18.294004657911476,18.086885109802953,18.448801548426434
0.25,-0.15,86.07079764250578,14.347933226407145,14.379120894835811,14.35345468697738,0.0195923642220391,0.07436693104159259,14.315054358730192,14.391855015224566,14.207698180495084,14.499211193459674
0.25,-0.1,90.48374180359596,10.569830522471127,10.661433394262316,10.59871625545868,0.021415813549614245,0.05702341625890099,10.55674203220181,10.640690478715548,10.486952413315798,10.710480097601561
0.25,-0.05,95.1229424500714,7.1740175561267865,7.192674813968661,7.214933184347107,0.017344799459385944,0.039843509705806496,7.1809380020876405,7.248928366606573,7.136841340306054,7.2930250283881595
0.25,0.0,100.0,4.407830806296422,4.385743920002786,4.420213071265313,0.009706625986183187,0.02408200362218726,4.401188433920994,4.439237708609633,4.373013211490263,4.467412931040363
