iteration,objective,weighted_data_misfit,regularization_penalty,weighted_rmse,damping,step_scale,step_norm,relative_objective_improvement,accepted
0,250.97842350375197,200.64691989336745,0.0503315036103845,1.603869199432836,0.01,0.0,0.0,0.0,True
1,129.36141688885277,88.58749337245199,0.040773923516400794,1.065709667085091,0.01,1.0,0.07510152850389895,0.48457156163896736,True
2,129.33851883119289,88.75014281200322,0.04058837601918967,1.0666875567586,0.003,1.0,0.003125383645504698,0.00017700840181397493,True
