expiration,maturity,number_of_quotes,number_of_training_quotes,number_of_test_quotes,minimum_log_moneyness,maximum_log_moneyness
2023-09-25,0.0848733744010951,102,82,20,-0.2353167264586674,0.1213582174800648
2023-10-13,0.1341546885694729,63,51,12,-0.2376982216914749,0.1581974354005387
2023-11-17,0.2299794661190965,245,196,49,-0.2489980822613803,0.2101555309602893
2023-12-29,0.3449691991786447,279,224,55,-0.2476261319379671,0.2043589918050901
2024-02-16,0.4791238877481177,154,124,30,-0.2467264001034718,0.2338593384728007
2024-04-19,0.6516084873374401,61,50,11,-0.2471981730319136,0.2437121410331356
2024-06-28,0.8432580424366872,70,57,13,-0.2481335217443582,0.2357592196620443
2024-09-20,1.0732375085557837,69,56,13,-0.2433336778358616,0.2266699514098738
