underlying_symbol,quote_date,expiration,maturity,strike,source_option,source_option_type,bid,ask,mid,spread,relative_spread,call_bid,call_ask,observed_call_price,call_spread,noise_standard_deviation,quote_weight,discount_factor,prepaid_forward,forward,implied_rate,log_moneyness,call_lower_bound,call_upper_bound,parity_rmse,number_of_parity_pairs,trade_volume,open_interest,is_train,is_test,exercise_style,is_inner_validation,is_inner_fit
^SPX,2023-08-25,2023-09-25,0.0848733744010951,3500.0,otm_put_parity,P,1.15,1.25,1.2,0.1,0.0833333333333334,925.4930899507008,925.5930899507008,925.5430899507008,0.1000000000000227,0.0500000000000113,19.999999999995453,0.9954338735263952,4408.361647293084,4428.583117908324,0.0539224828079993,-0.2353167264586674,924.3430899507008,4408.361647293084,0.4706053436862162,105,3,1293,True,False,european_index,False,True
^SPX,2023-08-25,2023-09-25,0.0848733744010951,3550.0,otm_put_parity,P,1.3,1.4,1.35,0.0999999999999998,0.0740740740740739,875.8713962743808,875.9713962743808,875.9213962743809,0.1000000000000227,0.0500000000000113,19.999999999995453,0.9954338735263952,4408.361647293084,4428.583117908324,0.0539224828079993,-0.2211320914667111,874.5713962743808,4408.361647293084,0.4706053436862162,105,0,21,True,False,european_index,False,True
^SPX,2023-08-25,2023-09-25,0.0848733744010951,3600.0,otm_put_parity,P,1.5,1.6,1.55,0.1,0.0645161290322581,826.2997025980611,826.3997025980611,826.3497025980612,0.1000000000000227,0.0500000000000113,19.999999999995453,0.9954338735263952,4408.361647293084,4428.583117908324,0.0539224828079993,-0.2071458494919712,824.7997025980611,4408.361647293084,0.4706053436862162,105,1,52,True,False,european_index,True,False
^SPX,2023-08-25,2023-09-25,0.0848733744010951,3650.0,otm_put_parity,P,1.7,1.8,1.75,0.1,0.0571428571428572,776.7280089217414,776.8280089217413,776.7780089217414,0.099999999999909,0.0499999999999545,20.00000000001819,0.9954338735263952,4408.361647293084,4428.583117908324,0.0539224828079993,-0.1933525273596354,775.0280089217414,4408.361647293084,0.4706053436862162,105,0,25,True,False,european_index,False,True
^SPX,2023-08-25,2023-09-25,0.0848733744010951,3750.0,otm_put_parity,P,2.25,2.35,2.3,0.1,0.0434782608695652,677.7346215691018,677.8346215691018,677.7846215691018,0.1000000000000227,0.0500000000000113,19.999999999995453,0.9954338735263952,4408.361647293084,4428.583117908324,0.0539224828079993,-0.166323854971716,675.4846215691018,4408.361647293084,0.4706053436862162,105,1,10,True,False,european_index,False,True
^SPX,2023-08-25,2023-09-25,0.0848733744010951,3800.0,otm_put_parity,P,2.6,2.75,2.675,0.1499999999999999,0.0560747663551401,628.3129278927821,628.4629278927821,628.387927892782,0.1499999999999772,0.0749999999999886,13.333333333335354,0.9954338735263952,4408.361647293084,4428.583117908324,0.0539224828079993,-0.1530786282216955,625.7129278927821,4408.361647293084,0.4706053436862162,105,26,16,True,False,european_index,False,True
^SPX,2023-08-25,2023-09-25,0.0848733744010951,3850.0,otm_put_parity,P,3.0,3.2,3.1,0.2000000000000001,0.0645161290322581,578.9412342164624,579.1412342164624,579.0412342164624,0.2000000000000454,0.1000000000000227,9.999999999997726,0.9954338735263952,4408.361647293084,4428.583117908324,0.0539224828079993,-0.1400065466543427,575.9412342164624,4408.361647293084,0.4706053436862162,105,0,7,True,False,european_index,False,True
^SPX,2023-08-25,2023-09-25,0.0848733744010951,3900.0,otm_put_parity,P,3.7,3.8,3.75,0.0999999999999996,0.0266666666666665,529.8695405401426,529.9695405401425,529.9195405401425,0.099999999999909,0.0499999999999545,20.00000000001819,0.9954338735263952,4408.361647293084,4428.583117908324,0.0539224828079993,-0.1271031418184348,526.1695405401425,4408.361647293084,0.4706053436862162,105,2,88,True,False,european_index,True,False
^SPX,2023-08-25,2023-09-25,0.0848733744010951,4000.0,otm_put_parity,P,5.6,5.8,5.699999999999999,0.2000000000000001,0.0350877192982456,432.2261531875031,432.4261531875031,432.3261531875031,0.1999999999999886,0.0999999999999943,10.000000000000568,0.9954338735263952,4408.361647293084,4428.583117908324,0.0539224828079993,-0.1017853338341448,426.6261531875031,4408.361647293084,0.4706053436862162,105,21,117,True,False,european_index,False,True
^SPX,2023-08-25,2023-09-25,0.0848733744010951,4025.0,otm_put_parity,P,6.3,6.6,6.449999999999999,0.2999999999999998,0.0465116279069767,408.0403063493432,408.3403063493432,408.19030634934313,0.3000000000000113,0.1500000000000056,6.666666666666414,0.9954338735263952,4408.361647293084,4428.583117908324,0.0539224828079993,-0.0955547840835088,401.7403063493432,4408.361647293084,0.4706053436862162,105,5,4,True,False,european_index,False,True
