method,mean_rmse,sd_rmse,minimum_rmse,maximum_rmse,mean_mae,mean_shared_valid_fraction
ssvi_dupire,0.001356403462555541,0.00031659013061768854,0.0009737454322907482,0.001994785672334193,0.001046820509224476,0.9141025641025641
operator_regularized_linearized,0.0055778635022952355,0.0008154585471366721,0.004408875020555595,0.007074447717790411,0.004506646035320716,0.9141025641025641
constant_reference,0.011970464170674714,0.00027336327138190983,0.011603986673073522,0.012371335497686334,0.009172297973959924,0.9141025641025641
smoothed_dupire,0.04317577296243642,0.04628365577749574,0.016398591398766336,0.17177824721601637,0.018359665431649946,0.9141025641025641
raw_dupire,0.044356628949310715,0.013631705266738636,0.03269436154674122,0.07844049002757432,0.023776652492479084,0.9141025641025641
