number_of_evaluation_points,rmse,mae,maximum_absolute_error,bias,method,method_valid_fraction
72,0.0018983776079499939,0.0014139622035989345,0.0067490053641523495,0.0011655365924609581,ssvi_dupire,1.0
72,0.00636442397590451,0.0052981940943496435,0.014080814170134459,0.00027374282261958204,operator_regularized,1.0
72,0.011603986673073522,0.008933128792646449,0.025424546620451488,-0.008933128792646449,constant_reference,1.0
72,0.02499628123165175,0.01591063311267636,0.09687778009070758,-0.005810576618538597,smoothed_dupire,0.9487179487179487
72,0.04420481698419521,0.025525295762366743,0.2013842395470101,-0.005798233459137002,raw_dupire,0.9358974358974359
