maturity,log_moneyness,true_local_volatility,constant_reference,raw_dupire,smoothed_dupire,ssvi_dupire,operator_regularized,shared_valid
0.1,-0.3,0.2294245466204515,0.2,0.19323422866909737,,0.2462990851612287,0.20590041942851917,False
0.1,-0.25,0.2272245466204515,0.2,,,0.2394920367725279,0.20900700646700332,False
0.1,-0.2,0.2254245466204515,0.2,,0.2910878403785917,0.23354015523103988,0.21423509212758174,False
0.1,-0.15,0.2240245466204515,0.2,0.22988243742191505,0.2463790704257874,0.2286199097534768,0.22026954646681673,True
0.1,-0.1,0.2230245466204515,0.2,0.2340275535152525,0.22410118859907444,0.22490120763873378,0.22711036948470834,True
0.1,-0.05,0.2224245466204515,0.2,0.21768889195910587,0.2082393567545367,0.2225287790147788,0.22753101601109843,True
0.1,0.0,0.2222245466204515,0.2,0.2191047022488729,0.21418009248471276,0.22160246115317817,0.22581160370698802,True
0.1,0.0499999999999999,0.2224245466204515,0.2,0.2212860640894437,0.2197109806268482,0.22216151106966323,0.22427243685237208,True
0.1,0.0999999999999999,0.2230245466204515,0.2,0.23081803268060774,0.22823776880988128,0.22417797310785237,0.22307050293707426,True
0.1,0.1499999999999999,0.2240245466204515,0.2,0.2334399246176926,0.24007613165787836,0.22756144566427688,0.22288026783973103,True
0.1,0.1999999999999999,0.2254245466204515,0.2,0.21611668276277654,0.25741684869336995,0.23217355198460385,0.22006033534980576,True
0.1,0.2499999999999999,0.2272245466204515,0.2,,,0.23784736888792257,0.21461070546729852,False
0.1,0.3,0.2294245466204515,0.2,,,0.24440652580547378,0.2113513147348998,False
0.25,-0.3,0.2213709965822304,0.2,,0.1301343312797606,0.22860586153255794,0.2036176711306939,False
0.25,-0.25,0.2191709965822304,0.2,0.11048655509508219,0.12229321649152283,0.22418583987947963,0.20586349363921527,True
0.25,-0.2,0.2173709965822304,0.2,0.0958809383198916,0.19020525204384184,0.22039076261100382,0.21016492112522506,True
0.25,-0.15,0.2159709965822304,0.2,0.20527873824330253,0.21769501218943735,0.21730258207240816,0.21512625631842253,True
0.25,-0.1,0.2149709965822304,0.2,0.2357890991872557,0.2152223773019205,0.21499504461770885,0.22074749921880768,True
0.25,-0.05,0.2143709965822304,0.2,0.22084208183805729,0.21259504948017255,0.21352762419454807,0.21879247072811922,True
0.25,0.0,0.2141709965822304,0.2,0.22597967491725376,0.2235423666779878,0.21293990335826485,0.2143120184404062,True
0.25,0.0499999999999999,0.2143709965822304,0.2,0.22429345042563636,0.22656546337228722,0.21324747128619745,0.2148813381515141,True
0.25,0.0999999999999999,0.2149709965822304,0.2,0.21856372543635877,0.21809576140236753,0.21444022993142947,0.2156811768745494,True
0.25,0.1499999999999999,0.2159709965822304,0.2,0.20210780253491106,0.2050750409253394,0.21648350133810787,0.21717257263336706,True
0.25,0.1999999999999999,0.2173709965822304,0.2,0.1858706269147696,0.19407925042798668,0.21932167803908212,0.2163674995420856,True
0.25,0.2499999999999999,0.2191709965822304,0.2,0.1769159021768093,0.18932693075915194,0.22288360837101262,0.21326595760070505,True
