maturity,log_moneyness,strike,implied_volatility,total_variance,vega,total_variance_standard_deviation,usable_for_ssvi
0.1,-0.3,74.08182206817179,1e-08,1.0000000000000002e-17,0.0,2591821.231837258,False
0.1,-0.25,77.8800783071405,0.28896290017750526,0.008349955767899486,0.26351646335808615,0.024256479387244973,True
0.1,-0.2,81.87307530779819,0.31357611354670956,0.009832997898705889,1.4914402946512868,0.0038123640323948294,True
0.1,-0.15,86.07079764250578,0.23459279228508037,0.005503377819211087,1.5144496131909528,0.002164551534893514,True
0.1,-0.1,90.48374180359596,0.23564211742225713,0.005552720750324482,4.873369287158744,0.00047235502005781347,True
0.1,-0.05,95.1229424500714,0.23465547999140526,0.0055063194289996795,9.798594164852872,0.00014061728155339111,True
0.1,0.0,100.0,0.2238060997382937,0.005008917028006708,12.607766231469435,5.048336310886492e-05,True
0.1,0.0499999999999999,105.12710963760242,0.22677629628150994,0.0051427488555159185,10.137440896803277,4.474034395663331e-05,True
0.1,0.0999999999999999,110.51709180756475,0.22310915917049434,0.004977769690576499,4.854232318677978,9.192356052347196e-05,True
0.1,0.1499999999999999,116.1834242728283,0.22920232729468074,0.005253370683729795,1.5964783922538235,0.0002871348944110732,True
0.1,0.1999999999999999,122.14027581601698,0.20032995337389076,0.004013209021878524,0.09545449735891397,0.004197391614156,True
0.1,0.2499999999999999,128.40254166877415,0.29956101950318315,0.008973680440578648,0.43885388431999084,0.0013651970744994382,True
0.1,0.3,134.9858807576003,1e-08,1.0000000000000002e-17,0.0,200000.00000000006,False
0.25,-0.3,74.08182206817179,0.28522468389659394,0.020338280075977985,1.8737948649534615,0.009867235709887234,True
0.25,-0.25,77.8800783071405,1e-08,2.5000000000000003e-17,0.0,5540747.659097191,False
0.25,-0.2,81.87307530779819,1e-08,2.5000000000000003e-17,0.0,4567868.3064653445,False
0.25,-0.15,86.07079764250578,0.22603887053137256,0.012773392747774651,7.657999344666681,0.0010587591076301483,True
0.25,-0.1,90.48374180359596,0.2288474302267141,0.013092786580342696,12.930103531371529,0.0004676835237882326,True
0.25,-0.05,95.1229424500714,0.22233171373314226,0.01235784773287898,17.555888868743466,0.0002271334179559939,True
0.25,0.0,100.0,0.21997942957339942,0.012097737358859549,19.916972447806913,0.00012170927446002358,True
0.25,0.0499999999999999,105.12710963760242,0.22144631820371455,0.0122596179614952,18.44127312250783,7.249246018860815e-05,True
0.25,0.0999999999999999,110.51709180756475,0.2221676756472221,0.01233961902562232,13.962052648050378,7.956125121697094e-05,True
0.25,0.1499999999999999,116.1834242728283,0.22331558664693182,0.01246746280986583,8.707434908009878,0.00012823270515723646,True
0.25,0.1999999999999999,122.14027581601698,0.21977842428568495,0.012075638945374638,4.201106556289185,0.0002615720660032652,True
0.25,0.2499999999999999,128.40254166877415,0.22689600683122518,0.012870449478988846,1.9905938995833414,0.0005699203812458122,True
0.25,0.3,134.9858807576003,0.2290829911835641,0.013119754212402227,0.7493884525085103,0.001528466247489733,True
0.5,-0.3,74.08182206817179,0.21733023208686286,0.02361621488946484,3.6010863694969895,0.007860651124380077,True
0.5,-0.25,77.8800783071405,0.21792642008556426,0.023745962285654912,6.65705110460412,0.003669327894056023,True
0.5,-0.2,81.87307530779819,0.21105828846444114,0.022272800564769622,10.370007377110653,0.0019084494815507593,True
0.5,-0.15,86.07079764250578,0.21358130471676198,0.022808486862257168,15.935822256336847,0.0010156891583145426,True
0.5,-0.1,90.48374180359596,0.2198642160209056,0.024170136743243725,21.75339739853563,0.0005941887600423969,True
0.5,-0.05,95.1229424500714,0.21638917673810742,0.023412137904697945,26.006342135271712,0.00036157347614707,True
0.5,0.0,100.0,0.2153139357248932,0.023180045458671722,28.127860353781077,0.00023280920550447075,True
0.5,0.0499999999999999,105.12710963760242,0.21413025314448303,0.02292588265586019,27.310433246547774,0.00015718655324286048,True
0.5,0.0999999999999999,110.51709180756475,0.21577281427194672,0.023278953689418007,23.854238287072874,0.00011201356260594546,True
0.5,0.1499999999999999,116.1834242728283,0.21627554649531033,0.023387556005922572,18.740923977805743,0.00011540281938683404,True
0.5,0.1999999999999999,122.14027581601698,0.21606370287617446,0.0233417618502819,13.19591078151302,0.0001637353468461394,True
0.5,0.2499999999999999,128.40254166877415,0.21612466312122963,0.0233549350046325,8.36195060951293,0.0002584620182704219,True
0.5,0.3,134.9858807576003,0.22005751226075676,0.024212654351196555,5.094182427579051,0.00043197807575441784,True
1.0,-0.3,74.08182206817179,0.21005411659472875,0.0441227318983919,12.31519491925294,0.004532152059081625,True
1.0,-0.25,77.8800783071405,0.2001762828444779,0.04007054421343241,16.06026526938285,0.002892887543792594,True
1.0,-0.2,81.87307530779819,0.2054549512730939,0.04221173700262939,22.357309486055428,0.0018271732278253544,True
1.0,-0.15,86.07079764250578,0.20993945504538297,0.04407457478475238,28.516222329842122,0.0012265910858532316,True
1.0,-0.1,90.48374180359596,0.21276988076355108,0.045271022160135746,33.78871422980204,0.0008578080299410499,True
1.0,-0.05,95.1229424500714,0.20809919021228315,0.04330527296700801,37.59810493553131,0.0005997779496663351,True
1.0,0.0,100.0,0.21185142268445348,0.04488102529342697,39.67104294179801,0.00044693919743729507,True
1.0,0.0499999999999999,105.12710963760242,0.20988473681654812,0.044051602748551674,39.54144610900574,0.00033254213133978845,True
1.0,0.0999999999999999,110.51709180756475,0.20946468161804113,0.043875452845347336,37.217842501148574,0.0002553701766377109,True
1.0,0.1499999999999999,116.1834242728283,0.21107891384560543,0.04455430787024052,33.22031305910378,0.00020169889204160643,True
1.0,0.1999999999999999,122.14027581601698,0.21186175459795362,0.04488540306132352,28.079557533671334,0.00016182901604462898,True
1.0,0.2499999999999999,128.40254166877415,0.21184895498666448,0.04487997972894179,22.405805357878258,0.00018910184356499805,True
1.0,0.3,134.9858807576003,0.21304981381681487,0.04539022316737948,17.10130797257825,0.000249162010482985,True
1.5,-0.3,74.08182206817179,0.20796764703413737,0.06487581331937331,20.84724504861294,0.004076321081592283,True
1.5,-0.25,77.8800783071405,0.20923826291249228,0.06567097599995586,26.573068427954638,0.0028446596497037255,True
1.5,-0.2,81.87307530779819,0.21404326538239826,0.06872177918333966,32.76449405653576,0.0020558166578465214,True
1.5,-0.15,86.07079764250578,0.21030696366961513,0.06634352845189923,37.94354276452456,0.0014946676184815996,True
1.5,-0.1,90.48374180359596,0.2057399148907841,0.06349336886890064,42.61810464978166,0.0010960137628510498,True
1.5,-0.05,95.1229424500714,0.2114114817943145,0.06704222195170165,46.3832759584311,0.0008545370168722828,True
1.5,0.0,100.0,0.20648680687830648,0.06395520212219856,48.47119997282684,0.0006462713518693104,True
1.5,0.0499999999999999,105.12710963760242,0.2083366487530316,0.0651062388204661,48.746165506263495,0.0005136823607713328,True
1.5,0.0999999999999999,110.51709180756475,0.20819310094657012,0.06501655092262311,47.17828121550739,0.0004110587080191131,True
1.5,0.1499999999999999,116.1834242728283,0.20815029629272566,0.06498981877012422,43.93610600882396,0.00033431640252967694,True
1.5,0.1999999999999999,122.14027581601698,0.2087613944643949,0.06537197972807804,39.44278863014766,0.0002766091749762384,True
1.5,0.2499999999999999,128.40254166877415,0.209237032931319,0.06567020392485282,34.1203076643918,0.00023208168458045765,True
1.5,0.3,134.9858807576003,0.21031697391205406,0.06634984427328544,28.57257472623868,0.00022082396416195184,True
2.0,-0.3,74.08182206817179,0.20517059234851187,0.08418994392927848,28.156433118099084,0.0040739609262591715,True
2.0,-0.25,77.8800783071405,0.2036357245114668,0.08293501659462,33.80596722690546,0.003006359941691374,True
2.0,-0.2,81.87307530779819,0.20862958441408666,0.08705260698558902,40.132140907227765,0.0022884221481691757,True
2.0,-0.15,86.07079764250578,0.21049683283871132,0.08861783327025675,45.594103403216856,0.0017693057311766592,True
2.0,-0.1,90.48374180359596,0.20629944687750043,0.08511892356392524,50.07010048675267,0.0013557932040209498,True
2.0,-0.05,95.1229424500714,0.2085059343072413,0.08694944928267125,53.654234416400165,0.0010817478148473093,True
2.0,0.0,100.0,0.20612310131262876,0.08497346578947244,55.822865410796695,0.0008561550180505429,True
2.0,0.0499999999999999,105.12710963760242,0.20760941622651868,0.08620333941183175,56.40338798192159,0.0006996960969088016,True
2.0,0.0999999999999999,110.51709180756475,0.20718463753563943,0.08585094806154858,55.35867625746848,0.0005738041066813553,True
2.0,0.1499999999999999,116.1834242728283,0.20715067807713422,0.085822806855633,52.77266535675368,0.00047731969668102247,True
2.0,0.1999999999999999,122.14027581601698,0.20777912661496745,0.08634433091375734,48.929548429137185,0.0004028196655128754,True
2.0,0.2499999999999999,128.40254166877415,0.20759910329993597,0.08619477538187498,44.01277441758988,0.00034339670282583544,True
2.0,0.3,134.9858807576003,0.20870785790484703,0.08711793990245964,38.681999416807166,0.0002965808526323405,True
