iteration,objective,weighted_rmse,weighted_data_misfit,regularization_penalty,damping,step_scale,step_norm,accepted
0,779326.4898969616,21.70437713622373,395707.1889720025,0.3836193009249591,0.01,0.0,0.0,True
1,546375.995680483,16.203320650067404,220539.98407467664,0.3258360116058065,0.01,1.0,1.0037775830287354,True
2,389280.9282758448,11.031784716416402,102228.23018466117,0.2870526980911836,0.003,1.0,1.0149964773844213,True
3,338612.01221688883,8.92039204929047,66841.6512229575,0.27177036099393137,0.0009,1.0,1.0164998357900146,True
