iteration,objective,weighted_data_misfit,regularization_penalty,weighted_rmse,damping,step_scale,step_norm,relative_objective_improvement,accepted
0,494.98315714156666,473.1898754166745,0.02179328172489217,1.865298185073972,0.01,0.0,0.0,0.0,True
1,135.483486774089,115.34380884572249,0.020139677928366507,0.9209322676031421,0.01,1.0,0.3419815440020576,0.7262866729517015,True
2,135.35653245324065,115.51454959915478,0.01984198285408588,0.9216136328359511,0.003,1.0,0.05420488770691022,0.0009370464539344958,True
3,135.35629681449933,115.52884883984083,0.019827447974658498,0.9216706731282666,0.0009,1.0,0.004020003983865256,1.740874541073418e-06,True
