number_of_evaluation_points,rmse,mae,maximum_absolute_error,bias,method,method_valid_fraction
120,0.005706802422601827,0.004472387174038129,0.01736288264416011,0.0009575575729390595,operator_regularized,1.0
120,0.011951162900170282,0.007230888030689158,0.06404437629248366,0.003296275156052473,ssvi_dupire,1.0
120,0.03683110973166506,0.015126084608838993,0.30294798052343763,0.006816859352829438,smoothed_dupire,0.9264705882352942
120,0.06162726748059085,0.027544086149998183,0.34597296837530506,0.006772105696990719,raw_dupire,0.8970588235294118
