maturity,log_moneyness,true_local_volatility,constant_reference,raw_dupire,smoothed_dupire,ssvi_dupire,operator_regularized,shared_valid
0.07,-0.32,0.2477569190468624,0.2,,,0.361759990974363,0.22194721150698643,False
0.07,-0.27,0.25052282070100085,0.2,,,0.3386096042213131,0.23088906914110077,False
0.07,-0.22,0.25082362247506784,0.2,0.5659848527935677,0.5537716029985055,0.3148679987675515,0.24338092595199262,True
0.07,-0.18,0.2475937739311345,0.2,,0.47040683662132804,0.2956129148714202,0.2507668709225893,False
0.07,-0.14,0.24267078121344543,0.2,0.0773328956548993,0.2898263028517732,0.2763837969927303,0.25641445557444154,True
0.07,-0.1,0.2367827086668697,0.2,0.21088239854701127,0.25905505466505013,0.2575948283962189,0.24438918439790444,True
0.07,-0.06,0.2296052684625407,0.2,0.24159309060301457,0.23589057817832557,0.2399043718685504,0.23102056037008928,True
0.07,-0.03,0.22367563979440355,0.2,0.23223679630034705,0.22248927454970982,0.22792476501458733,0.22285498573819024,True
0.07,0.0,0.21803367618577094,0.2,0.22355895379479698,0.21829904197432445,0.217608000343957,0.21468941110629117,True
0.07,0.03,0.21331503278044125,0.2,0.21969860969931027,0.21350016837359231,0.20949276138593237,0.2115576275111366,True
0.07,0.06,0.20976551287482884,0.2,0.21253211642220746,0.21623766671625957,0.20403605093453817,0.20842584391598204,True
0.07,0.1,0.2066040409355666,0.2,0.1763853525127363,0.22141625152570696,0.20127244783371165,0.20142871620380426,True
0.07,0.14,0.20460595960222014,0.2,0.1698909705172539,0.2313911503799155,0.20339212300255355,0.19478410962665813,True
0.07,0.18,0.20323108045976668,0.2,0.24956174912673457,0.268776000374821,0.20942117080379066,0.19766037983173326,True
0.07,0.23,0.2020110774391421,0.2,0.5479840458144472,0.39479949209235005,0.2206328996162811,0.20031101784998517,True
0.07,0.28,0.20121398220591658,0.2,0.5037208492039044,,0.23413274037300932,0.20174326936143575,False
0.07,0.34,0.20079327485105666,0.2,,,0.25161784287720845,0.2012799285053864,False
0.12,-0.32,0.2463819269136091,0.2,,,0.3326030123232905,0.22266912773184078,False
0.12,-0.27,0.25115840587069393,0.2,,,0.313386625788431,0.23139202204483922,False
0.12,-0.22,0.25362541152778423,0.2,0.5467707547814046,0.32578703314035273,0.29394909320991003,0.24243732354657135,True
0.12,-0.18,0.2518954120763179,0.2,0.136119874984834,0.29973423944906774,0.27840897241979967,0.24828247720509727,True
0.12,-0.14,0.24797922704922562,0.2,0.19145080280272692,0.24525353069205996,0.2631022264123375,0.25213357250171675,True
0.12,-0.1,0.24200562093377262,0.2,0.22590637014383777,0.24960426268977862,0.24834099192034778,0.24513184499662855,True
0.12,-0.06,0.2333012720461277,0.2,0.2460278622899841,0.23523318074195657,0.23456315055135318,0.23569691379618884,True
0.12,-0.03,0.2255925032504238,0.2,0.23713882816133014,0.2270137065560243,0.22521468968631425,0.2249387119103737,True
0.12,0.0,0.21813455568536536,0.2,0.22667127624799668,0.2246553354102009,0.2170192520062578,0.21418051002455862,True
0.12,0.03,0.21194365847767677,0.2,0.2220722960191537,0.2172321228749461,0.21026373665292508,0.21059856957885087,True
0.12,0.06,0.207416099310204,0.2,0.2078870651644184,0.21163285331514176,0.2052008413683973,0.20701662913314317,True
0.12,0.1,0.20361402700687112,0.2,0.18730722513522746,0.2070705572792706,0.2013606382451392,0.20019856548204853,True
0.12,0.14,0.20142475080462063,0.2,0.17702766607487333,0.20065597578109107,0.20088128992348092,0.19392796984437558,True
0.12,0.18,0.20003690307382016,0.2,0.16208180527089705,0.20273594621714844,0.2034340879543893,0.19717940820533736,True
0.12,0.23,0.19885555057394821,0.2,0.2824594824276506,0.2152162802817619,0.2099926194398059,0.20046249748849276,True
0.12,0.28,0.19808796580358073,0.2,,,0.21913505604282507,0.20248042401758953,False
0.12,0.34,0.19768135285910016,0.2,,,0.23208790430704265,0.20147443937150206,False
0.2,-0.32,0.23888231339366006,0.2,,,0.30813340503489167,0.22382419369160783,False
0.2,-0.27,0.2419755050807379,0.2,,0.2774822214661533,0.2923005580908542,0.23219674669082074,False
0.2,-0.22,0.24686453405462913,0.2,0.15047450531647763,0.2522606517485808,0.276479761184181,0.24092755969789736,True
0.2,-0.18,0.25064646469423774,0.2,0.22539213269393327,0.23843467600265342,0.26397934208829216,0.24430744725711012,True
0.2,-0.14,0.2525761504128507,0.2,0.23303419505450987,0.225041024949524,0.2517924606581644,0.2452841595853571,True
0.2,-0.1,0.24944963573963588,0.2,0.24827895215001103,0.2408040768196131,0.24013837103243033,0.24632010195458715,True
0.2,-0.06,0.2395501469040788,0.2,0.2422757929664982,0.23781267953259932,0.2292978887808211,0.2431790792779481,True
0.2,-0.03,0.2292123363269583,0.2,0.22880283453717554,0.2307640117596677,0.22190341834629104,0.22827267378586732,True
0.2,0.0,0.2188118690756512,0.2,0.22230903203596977,0.22585630998207537,0.2153137011629669,0.21336626829378655,True
0.2,0.03,0.21016567866997415,0.2,0.217163369913851,0.21842239640553043,0.20968674836340087,0.20906407688719372,True
0.2,0.06,0.20399526200086604,0.2,0.20502973040077963,0.20794927168978916,0.2051654114881143,0.20476188548060092,True
0.2,0.1,0.19913471172906927,0.2,0.2047473496785883,0.1965160023657544,0.20103902477659052,0.19823032432723936,True
0.2,0.14,0.1966719693345735,0.2,0.18968393107564083,0.18617477376918726,0.19918360372574576,0.19255814619272352,True
0.2,0.18,0.19532576316154054,0.2,0.1577243459646722,0.1832858812016209,0.19952867610609312,0.19640985360310403,True
0.2,0.23,0.19427962441148067,0.2,0.14305397149201668,0.18853995388412714,0.20268706846709056,0.2007048649101049,True
0.2,0.28,0.19360355752258002,0.2,,0.17720064273049316,0.20825634041916086,0.20365987146743564,False
0.2,0.34,0.1932399914745675,0.2,0.1480642980150699,,0.21716434487470293,0.20178565675728716,False
0.32,-0.32,0.22819170040747266,0.2,,0.4585335534195201,0.2829486494726792,0.22555679263125833,False
0.32,-0.27,0.22730410083206476,0.2,0.18474937932500343,0.2204963331348326,0.27015157732794276,0.23340383365979295,True
0.32,-0.22,0.23288851445181727,0.2,0.1919961729509234,0.21413080834734263,0.2574915700065015,0.2386629139248864,True
0.32,-0.18,0.24165102207802933,0.2,0.23890214942684437,0.21090042707082152,0.24757741527364466,0.23834490233512928,True
0.32,-0.14,0.24940045453934115,0.2,0.2165328649907701,0.219821076629608,0.23797879888703488,0.23501004021081764,True
0.32,-0.1,0.2495638040455301,0.2,0.24884411523151287,0.23567598161702843,0.2288417631253888,0.24810248739152502,True
0.32,-0.06,0.23951406257932847,0.2,0.25038215371456707,0.24065253163460582,0.22034138261963557,0.254402327500587,True
0.32,-0.03,0.22758982669502636,0.2,0.22055529670076426,0.2281733112474309,0.2145032940540652,0.23327361659910772,True
0.32,0.0,0.21525478255167899,0.2,0.2147846825577371,0.21750425982855975,0.2092248463230405,0.21214490569762842,True
0.32,0.03,0.2049464676195868,0.2,0.20970307447263822,0.21145214586717434,0.204594915464044,0.206762337849708,True
0.32,0.06,0.19767735577855633,0.2,0.20336124481408974,0.20355343953111874,0.20069537426762243,0.2013797700017876,True
0.32,0.1,0.19223573811500136,0.2,0.1960104784292384,0.19150894673208657,0.19674618423625936,0.19527796259502564,True
0.32,0.14,0.1898883177012778,0.2,0.18238141683024742,0.18055431330250976,0.19431279401716497,0.1905034107152454,True
0.32,0.18,0.18895658518632674,0.2,0.18526599212475295,0.17452365672568904,0.19340908315553973,0.19525552169975396,True
0.32,0.23,0.18842700563184045,0.2,0.19777280865642058,0.1740220991889278,0.19431100552724695,0.20106841604252312,True
0.32,0.28,0.18806615999804463,0.2,0.16425091037200276,0.15891602253324805,0.19718927233146136,0.20542904264220474,True
0.32,0.34,0.1878486687164759,0.2,,0.1267036422641808,0.20271370992435653,0.20225248283596478,False
0.5,-0.32,0.22128069894103808,0.2,0.13419498343674546,0.25968563416385093,0.24923294743853874,0.21951262607794497,True
0.5,-0.27,0.2176619239320533,0.2,0.18235359292514458,0.2126267560565291,0.23930751919310747,0.22255849254303786,True
0.5,-0.22,0.21739445569463728,0.2,0.23321953766866046,0.1967391527450549,0.22956053708813626,0.22042795898646567,True
0.5,-0.18,0.21940355272655093,0.2,0.22032694415212953,0.2001115108364273,0.22197343287999663,0.2160280939612748,True
0.5,-0.14,0.2209059282590624,0.2,0.22533017170330527,0.22037507370308226,0.21465755537683084,0.20983127014946182,True
0.5,-0.1,0.21856318590202523,0.2,0.21380679899555213,0.23147020685201858,0.20770572535927143,0.21937799893344664,True
