method,overall_rmse,overall_mae,primary_event_rmse,secondary_dip_rmse,background_rmse,true_primary_excess,estimated_primary_excess,primary_amplitude_error,true_secondary_deviation,estimated_secondary_deviation,secondary_amplitude_error,feature_correlation
operator_regularized,0.005706802422601827,0.004472387174038129,0.006616214695501086,0.0034662026296280175,0.005875076210276972,0.044232543562690935,0.05201506701774783,0.0077825234550568945,-0.01753591510222488,-0.01520632313199996,0.00232959197022492,0.9101555023907912
ssvi_dupire,0.011951162900170282,0.007230888030689158,0.014207556504131648,0.003791455485374011,0.012683566414715962,0.044232543562690935,0.05659124037669813,0.012358696814007197,-0.01753591510222488,-0.012658741600119733,0.004877173502105148,0.768825586558156
smoothed_dupire,0.03683110973166506,0.015126084608838993,0.017982854483762856,0.006402215352652505,0.04765308197129636,0.044232543562690935,0.0779165074059662,0.033683963843275266,-0.01753591510222488,-0.016175587097527644,0.0013603280046972366,0.3868583965900988
raw_dupire,0.06162726748059085,0.027544086149998183,0.04442937886328677,0.008473554536161882,0.07678712386859755,0.044232543562690935,0.0479948932317279,0.003762349669036963,-0.01753591510222488,-0.016600730918295392,0.0009351841839294883,0.17041461663182528
