method,mean_rmse,sd_rmse,minimum_rmse,maximum_rmse,mean_mae,mean_shared_valid_fraction
operator_regularized_linearized,0.007586924325435224,0.0010107997005533646,0.0060571055858496085,0.009710256148605633,0.005330717402211595,0.8845588235294117
ssvi_dupire,0.012812063389067754,0.0014123848105630024,0.010909736141770564,0.014906089430809816,0.00772023599366147,0.8845588235294117
smoothed_dupire,0.035952798420810325,0.022035478987742184,0.01693655471058815,0.08047502384382367,0.01478067503914362,0.8845588235294117
raw_dupire,0.046336339590011946,0.014639859352803576,0.027604370142767856,0.07243060554944611,0.02191563565228592,0.8845588235294117
